epoch       Temperature
1348600922 73.0616
1348600983 73.2866
1348601044 74.3
1348601105 74.3
1348601154 74.4116
1348601160 74.525
1348601166 74.525
1348601172 74.525
1348601178 74.525
1348601184 74.525
1348601190 74.525
1348601196 74.525
1348601202 74.6366
1348601208 74.6366
1348601215 74.6366
1348601220 74.6366
1348601226 74.6366
1348601232 74.75
1348601238 74.75
1348601244 74.75
1348601250 74.75
1348601256 74.8616
1348601262 74.8616
1348601268 74.8616
1348601274 74.975
1348601280 74.975
1348601286 74.975
1348601292 75.0866
1348601298 75.0866
1348601305 75.0866
1348601311 75.0866
1348601317 75.0866
1348601323 75.0866
1348601329 75.0866
1348601335 75.0866
1348601340 75.2
1348601346 75.2
1348601352 75.0866
1348601358 75.2
1348601364 75.0866
1348601370 75.2
1348601377 75.2
1348601383 75.0866
1348601389 75.0866
1348601395 75.0866
1348601401 74.975
1348601407 74.975
1348601413 74.975
1348602074 74.3
1348602085 74.3
1348602096 74.1866
1348602107 74.3
1348602118 74.3
1348602129 74.3
1348602140 74.3
1348602151 74.3
1348602162 74.975
1348602173 75.7616
1348602184 76.2116
1348602195 76.6616
1348602208 76.8866
1348602219 77
1348602230 77.1116
1348602268 76.1
1348602280 75.875
1348602291 75.5366
1348602302 75.425
1348602313 75.3116
1348602324 75.0866
1348602335 74.975
1348602346 74.75
1348602357 76.4366
1348602368 77.1116
1348602379 77
1348602390 76.55
1348602401 76.1
1348602413 75.65
1348602424 74.75
1348602435 74.1866
1348602446 73.85
1348602457 73.85
1348602468 73.7366
1348602479 73.85
1348602490 73.85
1348602501 73.85
1348602512 73.9616
1348602523 73.9616
1348602534 73.9616
1348602545 73.9616
1348602556 73.85
1348602567 73.9616
1348602578 73.9616
1348602589 73.9616
1348602600 73.9616
1348602611 73.85
1348602622 73.85
1348602633 73.85
1348602644 73.85
1348602655 73.9616
1348602666 74.075
1348602677 74.075
1348602688 74.075
1348602700 74.1866
1348602711 74.1866
1348602721 74.075
1348602732 74.1866
1348602743 74.1866
1348602754 74.1866
1348602765 74.1866
1348602776 74.075
1348602787 74.075
1348602798 74.075
1348602809 74.075
1348602820 74.1866
1348602831 74.1866
1348602842 74.3
1348602854 74.4116
1348602865 74.4116
1348602876 74.3
1348602887 74.1866
1348602898 74.075
1348602909 73.9616
1348602920 73.85
1348602931 73.7366
1348602942 73.5116
1348602953 73.4
1348602963 73.2866
1348602974 73.175
1348602985 73.0616
1348602997 72.95
1348603009 72.8366
1348603020 72.725
1348603031 72.6116
1348603042 72.5
1348603053 72.3866
1348603064 72.3866
1348603076 72.275
1348603087 72.1616
1348603098 72.05
1348603109 72.05
1348603120 71.9366
1348603131 71.825
1348603142 71.825
1348603153 71.7116
1348603164 71.7116
1348603175 71.6
1348603186 71.6
1348603197 71.4866
1348603208 71.4866
1348603219 71.4866
1348603230 71.4866
1348603241 71.4866
1348603252 71.4866
1348603263 71.4866
1348603274 71.375
1348603285 71.2616
1348603296 71.2616
1348603307 71.15
1348603318 71.0366
1348603329 71.0366
1348603340 71.0366
1348603350 70.925
1348603361 70.925
1348603372 70.8116
1348603383 70.8116
1348603394 70.7
1348603405 70.8116
1348603416 70.8116
1348603427 70.7
1348603438 70.7
1348603449 70.5866
1348603460 70.7
1348603471 70.7
1348603482 70.5866
1348603493 70.5866
1348603504 70.5866
1348603515 70.5866
1348603526 70.5866
1348603537 70.5866
1348603548 70.5866
1348603559 70.5866
1348603570 70.475
1348603581 70.475
1348603592 70.475
1348603604 70.475
1348603615 70.3616
1348603626 70.3616
1348603637 70.3616
1348603648 70.3616
1348603660 70.3616
1348603671 70.3616
1348603682 70.25
1348603693 70.25
1348603705 70.3616
1348603716 70.3616
1348603727 70.25
1348603738 70.25
1348603749 70.25
1348603760 70.25
1348603771 70.25
1348603782 70.25
1348603793 70.25
1348603804 70.25
1348603815 70.1366
1348603826 70.1366
1348603837 70.1366
1348603848 70.1366
1348603859 70.1366
1348603870 70.1366
1348603881 70.1366
1348603892 70.025
1348603903 70.025
1348603914 70.025
1348603925 70.025
1348603935 70.025
1348603946 70.025
1348603957 70.025
1348603968 70.025
1348603979 69.9116
1348603991 69.9116
1348604003 70.025
1348604014 69.9116
1348604025 69.9116
1348604036 69.9116
1348604047 69.9116
1348604058 69.9116
1348604069 69.9116
1348604080 69.9116
1348604092 69.9116
